[12:18:21] [User Authenticator #5/INFO]: UUID of player josephpalmercouk is 87dea0fb-d2fb-4a3e-b941-9c7be77a13a2
[12:18:21] [Server thread/INFO]: josephpalmercouk joined the game
[12:18:21] [Server thread/INFO]: josephpalmercouk[/10.147.17.77:64613] logged in with entity id 157840 at ([world]1055.9453969528493, 33.1989795816676, 901.1124552807887)
[12:20:04] [Server thread/INFO]: josephpalmercouk issued server command: //wand
[12:20:33] [Server thread/INFO]: josephpalmercouk issued server command: //pos1
[12:21:24] [Server thread/INFO]: josephpalmercouk issued server command: //pos2
[12:21:28] [Server thread/INFO]: josephpalmercouk issued server command: //flora 60
[12:22:01] [Server thread/INFO]: josephpalmercouk issued server command: /tp 21 -35 105
[12:22:01] [Server thread/INFO]: [josephpalmercouk: Teleported josephpalmercouk to 21.500000, -35.000000, 105.500000]
[12:22:01] [Server thread/WARN]: josephpalmercouk moved too quickly! -1012.05583821085,-51.71176554175022,-716.6098138605577
[12:22:11] [Server thread/INFO]: josephpalmercouk issued server command: /tp 61 35 -573
[12:22:11] [Server thread/INFO]: [josephpalmercouk: Teleported josephpalmercouk to 61.500000, 35.000000, -572.500000]
[12:22:11] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:11] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:12] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:12] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:12] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:12] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:12] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:12] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:12] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:12] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:12] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:12] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:12] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:12] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:12] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:12] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:12] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:12] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:12] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:12] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:12] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:12] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:12] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:12] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:12] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:12] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:12] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:12] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:12] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:12] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:12] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:12] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:12] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:12] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:12] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:12] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:12] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:12] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:12] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:12] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:12] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:12] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:12] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:12] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:12] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:12] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:12] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:12] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:12] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:12] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:12] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:12] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:12] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:12] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:13] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:13] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:13] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:13] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:13] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:13] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:13] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:13] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:13] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
